     title     ,     image     
"Subaru Outback , 2017",https://i.cars.kg/preview/r/piBq8V5LXz_ELxaLLODsNA/1080x-/20230306/79ec53c77d31ffb9cc201d94733ce3e2.jpg
"Mercedes-Benz E-Класс W210/S210 Седан 4-дв. , 1996",https://i.cars.kg/preview/r/WBOtiq3G_ipJBV_Bz12XMw/1080x-/20230226/012b3bde885ba63c17a2b441166f9de7.jpg
"Toyota RAV4 4 поколение [рестайлинг] Кроссовер , 2021",https://i.cars.kg/preview/r/IHlhGYdEaGurrwPESrW8gA/1080x-/20230226/126ff4ff8638c57f3e803e7d49fb93e7.jpeg
"Hyundai Elantra MD Седан , 2011",https://i.cars.kg/preview/r/Bnj3p851BTnvMacYOPpH5Q/1080x-/20230220/9afbbc72f5609f612e7f41b7d0027442.jpg
"Opel Astra H Хетчбэк 5-дв. , 2008",https://i.cars.kg/preview/r/5WxnW3aGkmsznzXS8NlaxA/1080x-/20230311/1af7161c973a87f9768137ecea9672be.jpg
"Mazda MPV 2 поколение [рестайлинг] JP-spec минивэн 5-дв. , 2004",https://i.cars.kg/preview/r/Rt5MxOC8U7B69yaZ5B_5tg/1080x-/20230311/a188a6a967fafbbc9e27e5602275870a.jpg
"Mazda Demio 2 поколение [рестайлинг] Хетчбэк , 2006",https://i.cars.kg/preview/r/P4p6G6yXhg7S1Mrk07M4EQ/1080x-/20230306/a804e6c7e384131a542fa49004b12f42.jpg
"Toyota Sequoia 2 поколение Внедорожник , 2014",https://i.cars.kg/preview/r/M98HdZs9o4WRdod41pgESg/1080x-/20230303/9ca5100bfa6ecfe74416c7ef6b2d9f72.jpg
"Kia Sorento 2 поколение [рестайлинг] Кроссовер , 2016",https://i.cars.kg/preview/r/uwVdS4nicup_SKZqonUYYg/1080x-/20230311/dd9e18825f2ba6902f7082f878dc88b3.jpeg
"Audi A3 8L [рестайлинг] Хетчбэк 5-дв. , 2002",https://i.cars.kg/preview/r/fFXZOh2x__hrmgDQ8PobBQ/1080x-/20230225/d7732858cb6fdad4b537dedc73d31c52.jpg
"Mercedes-Benz E-Класс W211/S211 Седан , 2002",https://i.cars.kg/preview/r/G2V7OSFm4_xoZb3svg9rVA/1080x-/20230306/2fe41f2579d9e7bebecd7bdafd5de08b.jpg
"Toyota Corolla E100 [рестайлинг] Седан , 1996",https://i.cars.kg/preview/r/W6CITCvJ5QdsJQunXWw4kg/1080x-/20230228/c549a83dec5f8f4a59ea768420211c1b.jpeg
"Toyota Camry XV50 [рестайлинг] Седан , 2016",https://i.cars.kg/preview/r/SmI1RAJ3bYn3v8kUengT4w/1080x-/20230302/41e60176be01d6affe8b56aa035ffe8b.jpg
"Toyota Prius 3 поколение [рестайлинг] Хетчбэк , 2014",https://i.cars.kg/preview/r/GofZ39rD1ORcj0HbY-jSPQ/1080x-/20230208/9562cc7cd4425ddf07d8875bc567c9a9.jpg
"Subaru Impreza 4 поколение Седан , 2018",https://i.cars.kg/preview/r/1Mep_pnxPTtz0GPO3v9D5A/1080x-/20230309/d90e9a9d3ed9969484d3386229e1b024.jpg
"Honda CR-V 3 поколение Кроссовер , 2008",https://i.cars.kg/preview/r/S7E5YQ-um6lbAoJjO4-z_g/1080x-/20230310/9b02698bd0b2176f64f274d8a061cee1.jpg
"ИЖ 412 1 поколение [2-й рестайлинг] Седан , 1984",https://i.cars.kg/preview/r/_UV2MftERSckeKjmd5glbw/1080x-/20230109/31f6613bc2039e7e89f9aa4fe5cb3c60.jpg
"Audi 80 B2 Седан 4-дв. , 1985",https://i.cars.kg/preview/r/AOi7dkFBC7krPF0IK7SNRg/1080x-/20230109/baf4c88fcfbd640119d2bdacf4702606.jpg
"BMW 5 серия E60/E61 [рестайлинг] Седан , 2010",https://i.cars.kg/preview/r/TgFHHljubRRdxsahCYNktg/1080x-/20230108/00a0cff9afe4cbdfbdd89bf0cc6fc7a4.jpg
